Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
asianmann	1	30	0.9722222222222222	5
gubzy0	1	2	0.19444444444444445	2
Jennirocksx3	0	2	0.05722222222222222	2
goatcheese97	0	0	0.0033333333333333335	2
Deliciousman	1	4	0.3541666666666667	2
robertbelly	3	111	13.190277777777778	22
Ethan1305	0	0	0.01138888888888889	2
Durza	0	0	0	1
WalterTheFirst	14	96	31.185555555555553	36
Agentred100 (MIHALOP)	0	1	0	0
VixiePixie	2	31	0.46055555555555555	3
harunnuh	0	0	0.34305555555555556	7
Jackashmore1999	0	0	0.1597222222222222	3
djjermy	0	0	0.02361111111111111	4
Dorovio	0	1	0.11305555555555556	2
Hybrid_2	1	8	0.9063888888888889	5
Teh_Octopus	5	7	0.4888888888888889	5
zqfmbg153	233	5059	442.81611111111084	376
Belkin33334	0	0	0.029722222222222223	2
Lord_Potato	0	18	0.115	2
narwhal103	0	3	0.9225	2
MR_SMOOTH1998	4	14	0.9802777777777778	3
Hillsyy	1	7	0.2811111111111111	5
kungpao_potato	0	2	0.11083333333333334	2
CenterOfLife	9	22	7.603611111111111	17
JoShM246	0	2	0.023055555555555555	2
Healzforfood	0	4	4.578611111111111	5
Genaric	3	77	5.517777777777777	10
NeededFocus	0	8	0.5044444444444445	4
Felipe992	8	3	1.5330555555555556	4
H3RO_KINGZ	0	0	0.006944444444444444	2
Cgriffin67	2	49	4.8163888888888895	11
Parmasean	51	255	12.116666666666665	19
patrickalexson	1	0	0.11277777777777778	2
Rosterking	0	43	2.0075000000000003	3
bwemery5	38	41	26.98083333333333	23
IrateMagnolia	12	171	5.3341666666666665	12
Morganblood	0	5	0.26416666666666666	2
coltrain90	5	0	1.7672222222222222	3
nightninja788	12	41	1.3719444444444444	5
SharpshootingAce	197	5541	222.19388888888906	532
goofy1148	0	0	0.41472222222222227	4
JakeBworth	0	20	0.30194444444444446	3
Ben_lo11	0	2	0.18416666666666667	2
spoodlebursts	0	4	0.07694444444444444	2
Grant_W	1	3	0.15416666666666667	2
DrapeSack	64	496	82.92999999999996	108
alexknight94	117	1477	152.48055555555564	406
ThatOneEmoWaffle	2	188	2.563888888888889	7
Swosher12	0	1	0.011111111111111112	3
Il_Perit	0	1	0.035277777777777776	2
ChibsTieudiks	1	37	0.7119444444444445	3
negligente	2	52	3.7716666666666665	7
Archa	0	4	0.04805555555555555	3
nuclearf1sh	0	9	1.2347222222222223	3
GamerSouffle	0	2	0.2036111111111111	2
cnnrsbst	0	2	0.017777777777777778	2
HeroicWinston	0	2	0.05694444444444444	3
Daniel5263	1	7	0.12277777777777778	3
Nibirue	6	8	5.2	12
rasterbee	0	1	0.07944444444444444	2
bigclay93	0	7	0.7577777777777778	3
Cloot	45	338	45.4688888888889	33
Generalaloki	1	1	0.255	3
Chimster	1	11	0.3894444444444445	3
RUSH_1974	0	1	0.015	2
Meanboy11	0	4	0.2025	2
macstrat	57	185	34.264166666666675	41
MuggleGirl	1	11	1.5505555555555555	3
EndSnows	23	695	18.679722222222217	55
minerno1	1	7	0.4330555555555556	6
Supernoid40	11	119	1.9391666666666665	3
MaacacoBR	1	15	0.2763888888888889	2
iks411_	0	1	0.025833333333333333	2
nataliekramm	78	26	24.98916666666667	22
cactusmas	0	3	0.028055555555555556	3
megakaz	1	28	2.891111111111111	5
PeelyUK	0	0	0.004722222222222222	2
Fedack	0	3	0.07027777777777777	2
AshishJoshep	0	1	0.0038888888888888888	2
DeltaColorado	0	0	0.16916666666666666	2
darkjordanx	0	1	0.03722222222222222	2
LowDefinitionHD	0	1	0.05472222222222222	2
Im_Already_Gone	2	58	2.3941666666666666	5
BroKing360	0	0	0.008055555555555555	2
Ibutonic	0	2	0.04666666666666667	2
joshnet1	2	1231	20.012777777777774	47
Mr_Dream_Puncher	0	2	0.09333333333333332	3
scratchyentree6	1	6	0.06194444444444444	4
YelliMcSwagger	1	0	0.5380555555555555	5
LegoKitty1128	0	0	0.01861111111111111	2
mmmeh	0	11	0.02277777777777778	2
Qyv	0	3	0.0775	2
naskamu	0	1	0.014722222222222222	2
XxpatakerxX	0	0	0.019166666666666665	2
Rosemosis	4	0	0.6722222222222223	3
